73 11032 46122
15 9 136.710006714 9.65997314453
16 9 97.3399963379 2.48998999596
17 9 139.279998779 11.2399902344
20 9 138.270004272 10.7800302505
22 9 101.220001221 2.9299929142
30 9 91.450012207 1.69000196457
34 9 83.8200073242 1.48998999596
35 9 140.13999939 11.5100097656
38 9 149.259994507 15.2700195312
39 9 84.7900085449 1.88000500202
43 9 80.890007019 0.830017089844
45 9 89.5199890137 1.14001500607
47 9 155.649993896 13.2000102997
56 9 160.279998779 13.7600097656
60 9 95.2099914551 1.21002197266
64 9 97.6499862671 1.39001500607
70 9 167.61000061 15.0499897003
0 10 158.289993286 -4.85998487473
1 10 154.259994507 -6.14001512527
3 10 156.720001221 -5.15002393723
5 10 147.460006714 -7.86999511719
7 10 141.699996948 -8.05999755859
10 10 131.429992676 -8.69000244141
11 10 136.729995728 -7.60998487473
13 10 127.13999939 -8.52001953125
16 10 116.900001526 -9.35998535156
22 10 121.940002441 -8.88000488281
30 10 109.720001221 -9.67999267578
34 10 101.569999695 -9.95001220703
39 10 101.620002747 -9.69000244141
43 10 98.3799972534 -10.8300199509
45 10 106.099998474 -10.8200101852
55 10 -386.230010986 7.40997314453
60 10 111.349998474 -10.0700101852
64 10 113.940002441 -10.1599702835
66 10 -310.970001221 13.3699998856
68 10 -338.959991455 11.3900098801
69 10 -256.640014648 14.4399995804
70 10 284.470001221 10.4600200653
71 10 -280.660003662 14.9600200653
0 11 242.130004883 -87.9899902344
1 11 199.059997559 -72.140007019
2 11 272.779998779 -100.989997864
3 11 218.460006714 -78.390007019
4 11 317.869995117 -117.63999939
5 11 179.300003052 -66.7100219727
7 11 163.649993896 -61.6599693298
10 11 140.13999939 -53.9399986267
11 11 150.710006714 -56.9299888611
16 11 113.300003052 -45.6199989319
34 11 94.7399902344 -42.5300292969
39 11 93.2399902344 -39.3900108337
45 11 95.549987793 -39.2000083923
0 12 236.229995728 -107.510002136
1 12 195.570007324 -87.4699707031
2 12 264 -123.230003357
3 12 213.919998169 -95.4099731445
4 12 310.450012207 -146.600006104
5 12 177.089996338 -80.3700027466
7 12 161.5 -73.6500167847
10 12 138.080001831 -63.4699707031
13 12 129.320007324 -59.4299888611
16 12 113.040000916 -53.6599693298
22 12 120.629997253 -56.289981842
30 12 103.870002747 -51.5600013733
34 12 93.9400024414 -49.6099891663
39 12 91.9599914551 -45.8100013733
43 12 89.6700134277 -48.6099891663
45 12 95.2399902344 -45.4699707031
60 12 99.0799865723 -43.4799804688
64 12 100.660003662 -42.3400306702
0 13 304.609985352 -1.75
1 13 270.320007324 -4.86999511719
3 13 286.920013428 -2.33001708984
0 14 201.080001831 1.21002197266
1 14 191.259994507 -1.10998499393
4 14 213.25 2.3200070858
5 14 181.179992676 -2.53997802734
6 14 222.600006104 3.20001196861
8 14 232.899993896 5.48999023438
11 14 165.630004883 -3.02002000809
12 14 271.600006104 10.5900297165
67 14 -377.989990234 11.0300302505
0 15 274.019989014 41.8400306702
1 15 247.800003052 33.3499794006
3 15 260.589996338 38.25
5 15 231.369995117 29.4899902344
0 16 296.989990234 20.9000205994
1 16 264.029998779 14.5600004196
2 16 316.239990234 22.8599891663
4 16 339.540008545 27.0200195312
49 16 -84.7699890137 41.7999916077
52 16 -16.730009079 46.6699790955
54 16 -148.240005493 36.289981842
58 16 22.9099998474 49.6099891663
67 16 -176.479995728 34.3800010681
0 17 148.800003052 -22.4299907684
1 17 145.470001221 -22.9899902344
2 17 149.169998169 -23.7899799347
3 17 148.119995117 -22.0599994659
4 17 151.979995728 -24.1299991608
8 17 160.050003052 -23.9899902344
9 17 164.690002441 -23.4299907684
10 17 125.470001221 -21.6299991608
11 17 129.509994507 -22.0999794006
12 17 175.820007324 -25.4099693298
13 17 121.379997253 -20.7399902344
14 17 171.130004883 -25.3499794006
15 17 182.080001831 -26.5100097656
16 17 112.239997864 -20.4500102997
17 17 195.339996338 -27.1400108337
20 17 188.289993286 -26.2899799347
22 17 116.809997559 -20.6500205994
30 17 104.879997253 -20.5200195312
33 17 203.570007324 -28.7800292969
34 17 96.5100097656 -20.6200008392
35 17 198.63999939 -27.0999794006
38 17 212.369995117 -28.1099891663
0 18 93.3399963379 39.6400108337
1 18 96.700012207 36.9099693298
2 18 90.8299865723 40.5999794006
4 18 90.3500137329 42.6500205994
5 18 93.450012207 34.8400306702
6 18 90.700012207 44.2000083923
7 18 90.7600097656 34.2600097656
8 18 91.0599975586 46.9199790955
9 18 91.2900085449 49.3200111389
10 18 84.8299865723 32.3300209045
11 18 87.9200134277 33.7399902344
12 18 93.2399902344 51.2399902344
13 18 83.0100097656 31.7999897003
14 18 92.3799972534 49.8800010681
15 18 93.9299926758 52.3900108337
16 18 77.109992981 29.1599693298
17 18 94.1799926758 57.2399902344
20 18 93.9299926758 55.2199707031
22 18 80.1700134277 30.4299907684
30 18 71.4400024414 27.9899902344
33 18 95.2600097656 59.9099693298
34 18 64.7200012207 26.9199790955
35 18 94.8399963379 59.1899986267
38 18 95.640007019 62.4899902344
43 18 62.5900001526 25.5100097656
45 18 72.3700027466 24.6200008392
47 18 97.5700073242 63.8300209045
56 18 100.260002136 66.5
60 18 78.140007019 24.6500205994
64 18 81.9299926758 23.5900306702
70 18 105.150001526 68.9600219727
0 19 262.5 53.1799888611
1 19 231.080001831 39.3900108337
2 19 282.619995117 57.5999794006
3 19 245.960006714 46.4799804688
5 19 213.080001831 34.3400306702
7 19 198.580001831 30.4299907684
8 19 386.790008545 90.9299926758
61 19 -80.4899902344 97.9200134277
0 20 200.279998779 26.5800209045
1 20 190.309997559 21.6299991608
2 20 205.039993286 27.8099994659
3 20 195.740005493 24.7999897003
4 20 212.729995728 30.4600200653
5 20 180.770004272 19.2100200653
6 20 221.88999939 32.789981842
8 20 232.380004883 36.8300209045
9 20 243.550003052 41.2999916077
12 20 270.839996338 47.5300292969
14 20 257.040008545 43.6099891663
15 20 285.670013428 51.0100097656
17 20 320.970001221 61.9299888611
20 20 302.089996338 56.3499794006
33 20 365.970001221 73.2899780273
35 20 342.130004883 66.799987793
38 20 395.779998779 82.4899902344
49 20 -327.359985352 57.539981842
52 20 -290.239990234 61.4699707031
53 20 -245.289993286 67.6200027466
54 20 -362.089996338 51.8699989319
55 20 -220.419998169 70.5200195312
58 20 -268.459991455 65.0100097656
59 20 -192.929992676 74.5899963379
61 20 -345.299987793 54.9799804688
62 20 -309.029998779 59.3800010681
66 20 -126.629997253 82.200012207
67 20 -378.609985352 50.2199707031
68 20 -162.080001831 78.0299987793
69 20 -51.3999900818 88.2099914551
71 20 -87.359992981 86.200012207
72 20 -395.160003662 48.1500205994
0 21 237.679992676 22.5800209045
1 21 220.119995117 17.4799804688
3 21 228.949996948 20.7600097656
4 21 259.940002441 27.4199790955
0 22 314.239990234 16.2000102997
1 22 277.459991455 10.2999897003
2 22 336 17.8499794006
4 22 365.320007324 20.8300209045
49 22 -51.9700012207 32.0100097656
52 22 20.8799991608 36.9000205994
53 22 109.690002441 41.9199790955
55 22 159 44.1300010681
58 22 63.3699989319 38.710018158
61 22 -87.299987793 31.5900306702
62 22 -16.519990921 33.4299888611
68 22 277.519989014 54.1599693298
72 22 -179.820007324 24.5300292969
0 23 349.329986572 20.4299907684
1 23 302.079986572 13.9000196457
2 23 378.5 22.2999897003
3 23 324.350006104 18.4799804688
5 23 277.570007324 11.3100004196
7 23 257.309997559 8.78997802734
11 23 239.729995728 8.13000488281
49 23 11.7000102997 35.9799804688
54 23 -64.8299865723 31.7800292969
61 23 -27.5700092316 34.0200195312
62 23 51.5199890137 37.4899902344
67 23 -98.7600097656 29.9199790955
72 23 -131.960006714 28.0499897003
0 24 293.380004883 13.4299898148
1 24 262.329986572 8.30999755859
2 24 311.339996338 14.9399995804
3 24 277.529998779 12.1799898148
4 24 335.420013428 17.9299907684
49 24 -93.4800109863 30.4299907684
52 24 -26.420009613 34.4699707031
53 24 54.920009613 40.0700111389
54 24 -155.929992676 25.9000205994
55 24 99.9199829102 42.6799888611
58 24 12.4500102997 36.5300292969
59 24 150.36000061 48.210018158
61 24 -125.650001526 28.3599891663
62 24 -60.9099998474 31.5999794006
66 24 275.260009766 57.9099693298
67 24 -184.050003052 24.6699790955
68 24 206.440002441 51.7999916077
71 24 355.920013428 62.7000083923
72 24 -211.699996948 22.8200092316
0 25 340 11.6899995804
1 25 295.290008545 4.10998487473
2 25 367.089996338 13.0399799347
3 25 316.720001221 7.97997999191
5 25 271.790008545 1.15997302532
7 25 252.020004272 -0.659973084927
10 25 219.729995728 -2.29998803139
11 25 235.130004883 -1.09997594357
13 25 206.869995117 -2.9299929142
54 25 -78.3099975586 22.9199790955
61 25 -42.3599891663 25.7399902344
67 25 -111.519996643 21.4500102997
72 25 -143.88999939 19.6099891663
0 26 289.679992676 15.9399995804
1 26 259.640014648 10.5800199509
2 26 306.989990234 17.4500102997
3 26 274.420013428 14.1199998856
4 26 330.079986572 20.6099891663
5 26 241.720001221 8.45001220703
7 26 226.479995728 6.59002685547
11 26 213.199996948 5.84997606277
13 26 190.699996948 3.88000488281
49 26 -101.209999084 34.8900108337
52 26 -35.5499916077 39.1300010681
53 26 44.3800010681 45.3900108337
54 26 -162.589996338 29.8900108337
55 26 88.4400024414 48.2399902344
59 26 136.960006714 53.7299804688
61 26 -132.75 32.7299804688
62 26 -69.25 36.2000083923
66 26 259.609985352 65.2199707031
67 26 -190.410003662 28.3799991608
68 26 192.770004272 58.9299888611
71 26 338.010009766 70.799987793
72 26 -217.589996338 26.5599994659
0 27 293.589996338 25.2000102997
1 27 262.260009766 17.7399902344
2 27 311.959991455 28.0200195312
3 27 277.489990234 22.1799907684
4 27 336.079986572 32.4500083923
5 27 243.350006104 14.2899799347
7 27 227.320007324 11.3400297165
10 27 201.020004272 8.40002441406
11 27 213.679992676 10.3400297165
13 27 190.490005493 7.45001220703
16 27 170.240005493 4.80999803543
22 27 179.899993896 6.04998779297
30 27 158.88999939 3.71997094154
34 27 147.039993286 2.47997999191
39 27 142.199996948 1.83001697063
43 27 141.300003052 0.900024414062
0 28 195.470001221 26.9699707031
1 28 186.490005493 22.5499897003
3 28 191.690002441 25.5100097656
8 28 225.839996338 37.5300292969
9 28 236.589996338 41.8400306702
12 28 262.790008545 48.3300209045
16 28 135.660003662 12.5700101852
22 28 141.899993896 13.5800199509
49 28 -336.059997559 60.2399902344
52 28 -300.010009766 64.0800170898
53 28 -255.380004883 70.8400268555
58 28 -279.130004883 67.950012207
62 28 -318.859985352 62.1199989319
66 28 -138.190002441 85.75
69 28 -64.4200134277 92.1700134277
72 28 -404.429992676 50.3800010681
0 29 304.839996338 1.71997094154
1 29 271.019989014 -1.95001196861
2 29 324.559997559 1.91998302937
4 29 351.869995117 5.25
6 29 384.470001221 7.01000976562
7 29 234.88999939 -4.45001220703
61 29 -104.699996948 13.9799804688
0 30 195.470001221 26.9699707031
1 30 186.490005493 22.5499897003
2 30 200.300003052 28.6099891663
3 30 191.690002441 25.5100097656
4 30 207.259994507 30.9500102997
6 30 215.86000061 33.1799888611
7 30 168.759994507 18.2899799347
8 30 225.839996338 37.5300292969
9 30 236.589996338 41.8400306702
11 30 161.690002441 17.4500102997
12 30 262.790008545 48.3300209045
14 30 249.490005493 44.3900108337
17 30 310.859985352 63.0900306702
20 30 292.869995117 57.5999794006
35 30 331.260009766 68.4899902344
38 30 382.339996338 83.890007019
49 30 -336.059997559 60.2399902344
52 30 -300.010009766 64.0800170898
53 30 -255.380004883 70.8400268555
55 30 -231.25 73.6699829102
58 30 -279.130004883 67.950012207
59 30 -204.020004272 77.8399963379
61 30 -354.739990234 57.4799804688
62 30 -318.859985352 62.1199989319
66 30 -138.190002441 85.75
67 30 -388.209991455 52.3599891663
68 30 -173.229995728 81.5
69 30 -64.4200134277 92.1700134277
71 30 -100 89.5599975586
72 30 -404.429992676 50.3800010681
0 31 83.0299987793 -149.699996948
1 31 78.25 -124.349998474
0 32 21.8200092316 28.1400108337
1 32 27.8099994659 27.2700195312
4 32 15.7699899673 28.8599891663
5 32 26.0900001526 25.6400108337
6 32 14.220000267 29.0900306702
7 32 25.0900001526 26.0200195312
8 32 12.8999900818 30.5700092316
9 32 11.720000267 31.5999794006
12 32 10.4800100327 31.8499794006
14 32 11.0900001526 31.4199790955
15 32 9.76998901367 31.5900306702
17 32 6.13000488281 33.5900306702
20 32 7.79000902176 33.0900306702
33 32 3.4299929142 33.3200111389
35 32 4.79000902176 34.3100013733
38 32 2.3299870491 35.2299804688
47 32 2.0700070858 34.5
56 32 2.22000098228 35.2399902344
70 32 4.79998779297 35.4399986267
0 33 396.859985352 71.049987793
1 33 334.279998779 53.2199707031
3 33 362.989990234 62.8400306702
5 33 303.649993896 46.4299888611
7 33 279.380004883 40.460018158
11 33 258.329986572 36.75
54 33 -0.649993896484 87.0100097656
61 33 41.5199890137 92.2699890137
67 33 -39.079990387 82.700012207
0 34 358.980010986 18.9000205994
1 34 308.769989014 11.6099901199
2 34 390.290008545 21.4699707031
3 34 332.359985352 16.3200092316
5 34 283.140014648 8.91998291016
7 34 261.920013428 6.65002393723
11 34 243.5 5.64001512527
49 34 27.2099895477 36.0900306702
52 34 111.959999084 41.3499794006
54 34 -51.2000083923 30.7700195312
58 34 161.720001221 43.9000205994
61 34 -13.079990387 33.75
67 34 -86.0700073242 28.7800292969
72 34 -120.209999084 26.7299804688
0 35 358.420013428 5.72997999191
1 35 308.559997559 0.280029296875
2 35 389.609985352 6.71002197266
5 35 283.089996338 -1.53997802734
49 35 25.6900005341 20.25
52 35 109.989997864 24.4699707031
54 35 -52.3400001526 16.0100097656
61 35 -14.5199899673 18.4099693298
62 35 66.4100036621 21.25
67 35 -87.0599975586 14.3599901199
72 35 -120.910003662 12.5700101852
0 36 358.420013428 5.72997999191
1 36 308.559997559 0.280029296875
2 36 389.609985352 6.71002197266
3 36 332.480010986 3.71002197266
5 36 283.089996338 -1.53997802734
7 36 262.059997559 -3.53002905846
49 36 25.6900005341 20.25
52 36 109.989997864 24.4699707031
54 36 -52.3400001526 16.0100097656
61 36 -14.5199899673 18.4099693298
62 36 66.4100036621 21.25
67 36 -87.0599975586 14.3599901199
72 36 -120.910003662 12.5700101852
0 37 396.859985352 71.049987793
1 37 334.279998779 53.2199707031
3 37 362.989990234 62.8400306702
7 37 279.380004883 40.460018158
49 37 86.25 97.1600036621
54 37 -0.649993896484 87.0100097656
61 37 41.5199890137 92.2699890137
62 37 131.899993896 100.709999084
72 37 -76.6900024414 78.4299926758
0 38 357.75 0.679992675781
1 38 307.119995117 -3.44000196457
2 38 388.399993896 1.28002905846
3 38 330.839996338 -0.219970703125
5 38 282.230010986 -4.79998779297
49 38 25.5599994659 13.3100004196
54 38 -52.6099891663 9.59997558594
58 38 159.740005493 18.3499794006
61 38 -14.6499900818 11.7100200653
62 38 66.5100097656 13.8499803543
67 38 -87.2699890137 8.30999755859
72 38 -121.519996643 6.95001220703
0 39 293.589996338 25.2000102997
1 39 262.260009766 17.7399902344
2 39 311.959991455 28.0200195312
3 39 277.489990234 22.1799907684
4 39 336.079986572 32.4500083923
49 39 -91.5400085449 49
52 39 -24.3599891663 54.1300010681
54 39 -154.539993286 42.789981842
55 39 103.5 65.0900268555
58 39 15.170009613 57.2199707031
59 39 153.259994507 71.7700195312
61 39 -123.819999695 46.1400108337
62 39 -58.9099998474 50.5800209045
66 39 280.549987793 85.359992981
67 39 -182.539993286 40.7399902344
68 39 210.839996338 77.7600097656
0 40 293.380004883 13.4299898148
1 40 262.329986572 8.30999755859
2 40 311.339996338 14.9399995804
3 40 277.529998779 12.1799898148
53 40 54.920009613 40.0700111389
0 41 334.929992676 1.13000500202
1 41 291.739990234 -3.20001196861
3 41 312.5 0.0800170898438
5 41 269.010009766 -4.41998291016
7 41 249.789993286 -5.80999803543
10 41 218.119995117 -6.58001708984
11 41 233.130004883 -5.89001512527
0 42 225.25 18.5999794006
1 42 210.279998779 14.0200195312
2 42 232.779998779 19.8599891663
3 42 217.910003662 16.8200092316
4 42 243.839996338 22.3200092316
5 42 198.570007324 11.7100200653
6 42 257.109985352 24.75
8 42 272.480010986 29.2000102997
9 42 289.290008545 33.9199790955
12 42 331.239990234 41.3599891663
14 42 309.559997559 37.0100097656
15 42 355.380004883 45.7999916077
20 42 383.529998779 52.9199790955
49 42 -255.779998779 43.7600097656
52 42 -210.100006104 47.5300292969
53 42 -155.009994507 53.9500083923
54 42 -298.380004883 38.3200111389
55 42 -124.669998169 56.8499794006
59 42 -91.9599914551 60.9500083923
61 42 -277.75 41.4699707031
62 42 -233.36000061 45.4099693298
66 42 -11.7000102997 70.200012207
67 42 -318.260009766 36.9299888611
68 42 -54.6099891663 65.2399902344
69 42 82.1299972534 77.3200073242
71 42 36.4399986267 74.450012207
72 42 -337.950012207 34.9899902344
0 43 304.109985352 28.4199790955
1 43 270.459991455 20.5599994659
2 43 323.660003662 31.2100200653
3 43 286.510009766 25.5399799347
5 43 251.259994507 17.3799991608
7 43 235.100006104 14.6400098801
10 43 207.410003662 11.4500102997
11 43 220.63999939 13.3400297165
13 43 196.759994507 10.0700101852
16 43 175.550003052 7.04998779297
22 43 185.38999939 8.45001220703
30 43 163.809997559 5.79998779297
34 43 151.199996948 4.39001512527
0 44 328.75 31.7000102997
1 44 288.489990234 22.1599693298
2 44 353.320007324 35.5300292969
3 44 307.670013428 28.0599994659
5 44 266.279998779 18.4899902344
7 44 247.800003052 15.5300302505
10 44 217.220001221 11.4500102997
11 44 232.100006104 13.5999803543
13 44 205.169998169 10.0499897003
58 44 95.6200027466 66.2399902344
67 44 -129.119995117 46.539981842
68 44 323.709991455 91.6200027466
72 44 -160.13999939 43.9000205994
0 45 15.9399995804 32.3599891663
1 45 22.3999900818 31.3300209045
2 45 11.8100004196 32.4699707031
3 45 19.7900104523 31.4199790955
4 45 9.66000366211 33.3300209045
5 45 20.8700008392 29.3900108337
6 45 7.92999315262 33.4799804688
7 45 19.8700008392 29.5800209045
8 45 6.64001512527 35.1199989319
9 45 5.05999803543 36.3699989319
10 45 17.9699993134 28.2999897003
11 45 19.1400108337 29.3499794006
12 45 3.54000902176 36.7600097656
13 45 17.3999900818 28.7299804688
14 45 4.51998901367 36.1599693298
15 45 2.44000196457 36.7600097656
17 45 -1.25 39.0100097656
20 45 0.450012207031 38.0600013733
30 45 9.42999267578 26.4099693298
33 45 -3.89999389648 39.2000083923
34 45 3.94000196457 26.0900306702
35 45 -2.64001488686 40.0499916077
38 45 -5.3299870491 41.2399902344
43 45 2.85998511314 25.1699790955
45 45 14.0199899673 24.8700008392
47 45 -6.08999586105 40.7999916077
56 45 -6.0299987793 41.9000205994
60 45 20.769990921 25.0599994659
70 45 -3.45999097824 42.0100097656
0 46 245.809997559 -0.0300293006003
1 46 296.959991455 -0.5
0 47 334.140014648 21.1799907684
1 47 291.420013428 14.0200195312
3 47 311.700012207 18.5200195312
5 47 268.450012207 11.2999897003
7 47 249.479995728 8.85998535156
10 47 217.820007324 6.21997117996
11 47 232.86000061 7.84002685547
13 47 205.520004272 5.25
0 48 279.839996338 0.98999017477
1 48 251.869995117 -1.58001697063
3 48 265.529998779 0.820007324219
5 48 235.149993896 -3.47997999191
49 48 -122.769996643 15.0800199509
52 48 -59.8400001526 17.8200092316
53 48 16.579990387 22.2700195312
54 48 -181.520004272 11.5
58 48 -23.1900005341 19.6299991608
59 48 104.459999084 29.0499897003
61 48 -152.88999939 13.4099702835
62 48 -92.2099914551 15.6899995804
66 48 220.470001221 37.8300209045
67 48 -208.130004883 10.5200195312
68 48 157.199996948 33.1799888611
71 48 294.450012207 41.6699790955
72 48 -234.369995117 9.34997558594
0 49 241.919998169 11.7399902344
1 49 223.320007324 7.58001708984
2 49 251.929992676 12.4399995804
3 49 232.850006104 10.2899799347
4 49 265.709991455 14.6099901199
6 49 282.380004883 16.5900306702
8 49 301.579986572 20.6400108337
9 49 323.540008545 24.9899902344
12 49 378.570007324 31.5900306702
14 49 349.779998779 27.5800209045
49 49 -210.75 30.2800292969
52 49 -159.600006104 33.5600013733
53 49 -97.9200134277 38.7800292969
54 49 -258.5 25.7000102997
55 49 -63.8699989319 41.1799888611
58 49 -129.75 36.1099891663
59 49 -27.079990387 45.4000205994
61 49 -235.339996338 28.5200195312
62 49 -185.669998169 31.4699707031
66 49 63.0199890137 53.7199707031
67 49 -280.660003662 24.6299991608
68 49 14.5199899673 49.1099891663
69 49 170.869995117 59.8800010681
71 49 117.910003662 57.4299888611
72 49 -302.450012207 23
0 50 299.079986572 1.30999803543
1 50 266.440002441 -2.65997290611
2 50 317.850006104 2.11999511719
3 50 282.470001221 0.349975585938
4 50 343.440002441 4.65002393723
5 50 247.529998779 -4.14001512527
7 50 231.410003662 -5.44000196457
10 50 204.5 -6.34997606277
13 50 193.729995728 -6.58001708984
16 50 172.899993896 -7.78002882004
22 50 182.759994507 -7.39001512527
30 50 161.350006104 -8.33001708984
34 50 149.440002441 -9.16998291016
49 50 -82.049987793 16.2700195312
52 50 -13.5499897003 19.7000102997
55 50 115.970001221 27.6500205994
58 50 26.1799907684 22.5599994659
59 50 166.949996948 33.9399986267
61 50 -114.819999695 14.5100097656
62 50 -48.9399986267 16.9699707031
66 50 296.549987793 45.8699989319
68 50 225.800003052 39.210018158
0 51 298.660003662 23.6400108337
1 51 266.309997559 16.9799804688
2 51 317.429992676 26.1099891663
3 51 282.170013428 21.2700195312
6 51 373.459991455 34.7199707031
49 51 -82.9100036621 45.75
52 51 -14.7999897003 50.789981842
54 51 -146.699996948 40.0200195312
55 51 114.620002747 61.710018158
58 51 24.7600097656 53.7700195312
59 51 165.449996948 67.9699707031
61 51 -115.809997559 43.1599693298
62 51 -49.829990387 47.3599891663
66 51 294.480010986 81.3999862671
67 51 -175.38999939 38.0300292969
68 51 223.869995117 73.9699707031
0 52 298.260009766 27.4799804688
1 52 264.970001221 20.1599693298
2 52 317.059997559 30.0800209045
3 52 281.769989014 24.6900005341
4 52 343.700012207 34.8599891663
5 52 246.529998779 16.9500102997
6 52 373.459991455 39.5800209045
49 52 -81.0599975586 50.960018158
52 52 -12.529999733 56.4500083923
53 52 71.049987793 64.2399902344
54 52 -145.240005493 44.8800010681
55 52 117.410003662 68.0200195312
58 52 27.670009613 59.7999916077
59 52 168.460006714 74.6200027466
61 52 -113.870002747 48.2199707031
62 52 -47.75 52.8499794006
66 52 298.559997559 88.9899902344
67 52 -173.919998169 42.6899986267
68 52 227.529998779 81.049987793
0 53 305.059997559 14.4699697495
